,ROMol,AAScore,trajectory_num,rank_num,lead_num,conf_num,num_heavyatoms,AAScore_LE
1725,<rdkit.Chem.rdchem.Mol object at 0x14b231a01740>,-7.595168828555168,trajectory_04,rank_01,lead_0267,confid_15,30,-0.25317229428517224
1564,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6f90>,-7.595080737590831,trajectory_04,rank_01,lead_0418,confid_3,28,-0.27125288348538684
1605,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0200>,-7.593718914010652,trajectory_04,rank_01,lead_0307,confid_2,27,-0.2812488486670612
1681,<rdkit.Chem.rdchem.Mol object at 0x14b2319fb3c0>,-7.590545864834225,trajectory_04,rank_01,lead_0485,confid_0,27,-0.2811313283271935
1726,<rdkit.Chem.rdchem.Mol object at 0x14b231a017b0>,-7.58567262872191,trajectory_04,rank_01,lead_0138,confid_5,30,-0.2528557542907303
1493,<rdkit.Chem.rdchem.Mol object at 0x14b231a9b0b0>,-7.575350450779149,trajectory_04,rank_01,lead_0098,confid_3,29,-0.26121898106135
776,<rdkit.Chem.rdchem.Mol object at 0x14b231406dd0>,-7.572567670442438,trajectory_02,rank_01,lead_0245,confid_6,28,-0.2704488453729442
1488,<rdkit.Chem.rdchem.Mol object at 0x14b231a9bdd0>,-7.572458702330941,trajectory_04,rank_01,lead_0090,confid_4,30,-0.25241529007769803
1809,<rdkit.Chem.rdchem.Mol object at 0x14b231a0cc80>,-7.561235931021183,trajectory_04,rank_01,lead_0300,confid_6,27,-0.2800457752230068
1473,<rdkit.Chem.rdchem.Mol object at 0x14b231a9b740>,-7.545296483683689,trajectory_04,rank_01,lead_0113,confid_11,30,-0.2515098827894563
570,<rdkit.Chem.rdchem.Mol object at 0x14b2313f2270>,-7.54394831931755,trajectory_02,rank_01,lead_0208,confid_4,27,-0.2794054933080574
1735,<rdkit.Chem.rdchem.Mol object at 0x14b231a01ba0>,-7.531411619587498,trajectory_04,rank_01,lead_0324,confid_1,30,-0.25104705398624994
1786,<rdkit.Chem.rdchem.Mol object at 0x14b231a0c270>,-7.530499045425797,trajectory_04,rank_01,lead_0116,confid_19,30,-0.25101663484752657
1534,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6270>,-7.526720977887292,trajectory_04,rank_01,lead_0165,confid_10,27,-0.27876744362545525
1798,<rdkit.Chem.rdchem.Mol object at 0x14b231a0c7b0>,-7.519716680224161,trajectory_04,rank_01,lead_0142,confid_1,29,-0.2593005751801435
1518,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1b30>,-7.497302733987268,trajectory_04,rank_01,lead_0396,confid_19,26,-0.2883577974610488
1652,<rdkit.Chem.rdchem.Mol object at 0x14b2319f66d0>,-7.492500414685375,trajectory_04,rank_01,lead_0079,confid_17,28,-0.26758930052447766
1816,<rdkit.Chem.rdchem.Mol object at 0x14b231a0cf90>,-7.48495523920041,trajectory_04,rank_01,lead_0020,confid_10,27,-0.27722056441483
1531,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6120>,-7.477803105031636,trajectory_04,rank_01,lead_0429,confid_6,28,-0.2670643966082727
1717,<rdkit.Chem.rdchem.Mol object at 0x14b231a013c0>,-7.472777565861774,trajectory_04,rank_01,lead_0290,confid_15,28,-0.2668849130664919
1691,<rdkit.Chem.rdchem.Mol object at 0x14b2319fb820>,-7.4718743229821,trajectory_04,rank_01,lead_0150,confid_16,27,-0.27673608603637406
1767,<rdkit.Chem.rdchem.Mol object at 0x14b231a079e0>,-7.47059407576733,trajectory_04,rank_01,lead_0228,confid_6,30,-0.24901980252557768
1698,<rdkit.Chem.rdchem.Mol object at 0x14b2319fbb30>,-7.468298196288523,trajectory_04,rank_01,lead_0385,confid_3,29,-0.25752752400994905
1768,<rdkit.Chem.rdchem.Mol object at 0x14b231a07a50>,-7.4660564390229025,trajectory_04,rank_01,lead_0349,confid_0,27,-0.2765206088527001
1428,<rdkit.Chem.rdchem.Mol object at 0x14b231a95350>,-7.4635700584873295,trajectory_04,rank_01,lead_0001,confid_7,26,-0.28706038686489727
1655,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6820>,-7.458066184286775,trajectory_04,rank_01,lead_0490,confid_8,27,-0.2762246734921028
548,<rdkit.Chem.rdchem.Mol object at 0x14b231cc7890>,-7.457169041012602,trajectory_02,rank_01,lead_0243,confid_18,27,-0.2761914459634297
397,<rdkit.Chem.rdchem.Mol object at 0x14b231ed09e0>,-7.452142389851,trajectory_02,rank_01,lead_0432,confid_10,27,-0.27600527369818517
1625,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0ac0>,-7.448877393132232,trajectory_04,rank_01,lead_0176,confid_18,30,-0.24829591310440774
1718,<rdkit.Chem.rdchem.Mol object at 0x14b231a01430>,-7.426814291953592,trajectory_04,rank_01,lead_0158,confid_19,27,-0.27506719599828117
1749,<rdkit.Chem.rdchem.Mol object at 0x14b231a07200>,-7.422516443100348,trajectory_04,rank_01,lead_0405,confid_14,29,-0.25594884286552927
